				1509464400|307.21167500|306.00000237|306.00000373|306.75167362|306.85770181|2894.89454628
				1509464100|307.21167675|306.00000000|306.75167362|307.21167453|306.92606276|93468.35572942
				1509463800|307.15350000|306.49000001|306.72599994|306.89000000|306.74984247|22189.52865963
				1509463500|306.90000000|306.00001033|306.89000000|306.40000000|306.67067235|11981.85131034
				1509463200|306.72681637|306.00000691|306.00000943|306.00000691|306.12497085|5012.16633746
				1509462900|306.72681700|306.00000060|306.00000661|306.61444572|306.48722348|14846.00253269
				1509462600|306.61444725|305.21067503|306.61444716|305.96000000|305.96214823|13910.70107690
				1509462300|305.99999954|304.80000002|305.96000000|305.00199000|305.20048342|72909.11863399
				1509462000|305.00199000|305.00000000|305.00000000|305.00019000|305.00102458|53003.03545874
				1509461700|305.00199000|304.80000000|305.00019000|305.00199000|304.99842955|19272.47517607
				1509461400|306.29044842|304.87935073|304.87935073|305.42040071|305.06557096|22216.95851821
				1509461100|306.99999944|305.42040013|305.42040054|305.85912864|306.07821679|17304.24230334
				1509460800|306.99999996|305.00000000|305.85912864|305.65000152|305.80827003|109463.04073989
				1509460500|306.99999921|305.60000000|305.65000152|306.99999897|306.51400795|127320.06599705
				1509460200|306.99999989|306.00000023|306.99999922|306.82328575|306.65214056|43344.15882967
				1509459900|306.82328578|306.19500170|306.82328575|306.62328562|306.38716383|12777.45664750
				1509459600|307.39999785|306.19210057|306.62328562|307.39999785|306.76243870|31566.09022993
				1509459300|307.42148659|306.00000001|307.40000000|307.00000000|306.38730639|21918.18994938
				1509459000|308.29999729|306.79100000|306.79100000|307.00000000|307.18176354|16494.99569676
				1509458700|309.19999999|307.00000000|307.00000000|308.40000391|308.23772187|59782.78540648
				1509458400|309.20000000|307.89829912|308.00508631|308.30000110|308.78949320|35193.07828004
				1509458100|308.30000110|307.65310866|307.89829853|308.30000110|308.27808273|47235.92137385
				1509457800|308.30000110|307.30000284|308.30000110|308.30000099|308.01962666|9188.80581852
				1509457500|308.40000667|307.49859198|308.30000110|308.40000655|308.33830752|9459.37435516
				1509457200|309.10774016|308.29808839|308.86999992|308.29808839|308.77436588|2984.13771499
				1509456900|308.40000000|307.90000000|308.19823587|307.90000000|307.99943767|5655.39218127
				1509456600|307.90000000|307.20000064|307.20000064|307.79999758|307.76920996|4278.29886435
				1509456300|307.79999819|307.02000000|307.79999770|307.75274096|307.45921995|24944.90658454
				1509456000|307.75274175|307.00000000|307.75274169|307.00000001|307.45735858|7908.11208832
				1509455700|307.77776806|307.00000000|307.00000001|307.00000003|307.10187931|890.90262865
				1509455400|307.77777498|307.00000000|307.77777112|307.77777498|307.68385479|1702.08048855
				1509455100|307.79999040|307.00000000|307.00000003|307.79999040|307.14064350|8736.95569214
				1509454800|307.79999181|307.79999181|307.79999181|307.79999181|307.79999181|201.42820831
				1509454500|307.79999709|306.80000000|306.80000010|306.80000001|306.81201978|3731.80162166
				1509454200|307.79999977|306.80000000|307.79999977|307.19134616|307.50482888|2870.83119235
				1509453900|307.20000000|307.00000000|307.00000000|307.00000000|307.00635834|1053.75149037
				1509453600|307.84431619|307.00000000|307.00000000|307.01000000|307.01297340|4147.41228134
				1509453300|307.90000213|307.00000000|307.00000000|307.55000000|307.06038764|23922.11360753
				1509453000|307.97999927|307.30000000|307.30000000|307.50000000|307.34375142|11115.06203229
				1509452700|308.00000000|307.30000073|308.00000000|307.30000073|307.69031917|27122.52924987
				1509452400|307.99999815|307.30000013|307.30000017|307.30000016|307.84562300|8754.67437456
				1509452100|307.30000016|307.30000013|307.30000013|307.30000016|307.30000015|1935.57786252
				1509451800|308.00999908|307.30000013|307.30000022|308.00000000|307.39109684|4446.27276474
				1509451500|309.10499990|308.00000000|308.00000000|309.10499990|308.05796124|5389.20348004
				1509451200|309.10774016|308.00090716|309.10760000|308.42772671|308.61177497|12010.78293402
				1509450900|308.56999994|307.99999247|308.56999994|307.99999247|308.00206547|2554.37820977
				1509450600|308.05752860|307.00999405|307.99999207|307.00999405|307.99609493|26622.51849583
				1509450300|307.30000003|307.00099776|307.00099776|307.30000003|307.01870217|14958.03575032
				1509450000|307.99999823|307.00099776|307.00099776|307.40000000|307.33996642|4648.81376893
				1509449700|307.99999995|307.30000004|307.30000045|307.79999997|307.41709954|7339.52031420
				1509449400|307.99999959|307.30000037|307.99999959|307.61638622|307.60206571|329.16082711
				1509449100|308.00000000|307.16728062|307.80000000|307.16728062|307.86359111|14778.94735608
				1509448800|308.57000000|307.16724558|307.16728025|308.56999969|307.66026065|5307.24970943
				1509448500|308.56999995|307.01052791|307.01052791|308.36869247|308.07350526|3140.30834778
				1509448200|308.21672573|307.01052624|307.01052624|307.69999709|307.68002711|8941.85272430
				1509447900|307.70999756|307.00004663|307.69999799|307.70999756|307.36988273|2539.11778929
				1509447600|307.71049910|307.70000000|307.70000000|307.70000000|307.70818919|1443.39792466
				1509447300|307.71050000|307.70000000|307.71049913|307.71049000|307.70141697|16743.31364642
				1509447000|307.71050000|307.00000903|307.71039885|307.70999908|307.61707485|11164.14140620
				1509446700|307.71052419|307.00000000|307.70000000|307.71052419|307.21995413|668.66397824
				1509446400|308.36869188|307.70000000|307.70000000|308.36869188|308.15335302|1835.52159494
				1509446100|308.56898649|307.71052587|307.71052587|307.71052841|307.71981982|1514.87996923
				1509445800|308.56899179|307.71053138|307.71053138|308.56899179|307.79675833|5135.70038142
				1509445500|308.56899630|307.71053737|307.71053947|307.71053737|307.74554083|520.51723792
				1509445200|307.71053578|307.71053473|307.71053578|307.71053473|307.71053534|1728.38238308
				1509444900|308.56998843|307.71053404|307.71053449|307.71053404|307.77140626|727.13315634
				1509444600|308.57000000|308.57000000|308.57000000|308.57000000|308.57000000|0.00000000
				1509444300|308.57000000|308.50000000|308.57000000|308.50000000|308.50257368|362.16041089
				1509444000|308.50000000|307.80000565|308.26533134|308.10000354|308.33222655|3381.96931743
				1509443700|308.47999317|308.13000000|308.13000000|308.47999317|308.45656672|764.33683411
				1509443400|307.80000030|307.30000833|307.80000030|307.30000833|307.30029715|1054.70737101
				1509443100|307.30000809|307.30000597|307.30000809|307.30000597|307.30000734|1337.64666292
				1509442800|308.50800001|307.30000255|307.30000420|307.30000255|308.09600876|3249.76853742
				1509442500|308.32931424|307.00000001|308.32931423|307.30000000|307.74582623|24390.98526238
				1509442200|307.50000000|307.29999997|307.29999997|307.50000000|307.35372471|12670.27701566
				1509441900|307.70199802|307.30000000|307.49999999|307.30000000|307.52312866|63527.58972746
				1509441600|307.99999543|307.30000003|307.30000021|307.30000003|307.99803943|5014.80114456
				1509441300|307.99999787|307.30000021|307.99999787|307.80000000|307.32429679|5406.01736459
				1509441000|308.55999869|307.80000000|307.80000000|308.55999869|307.85069133|911.06215277
				1509440700|308.56999921|308.56999921|308.56999921|308.56999921|308.56999921|5.00000038
				1509440400|308.59998934|307.76682815|308.59998934|307.76682815|307.91964361|1468.48886599
				1509440100|307.76682815|307.26683250|307.26683305|307.76682815|307.72033026|915.52139969
				1509439800|307.79999997|307.26682728|307.26682845|307.78099998|307.71386170|49433.34121742
				1509439500|307.78499992|307.78499992|307.78499992|307.78499992|307.78499992|11967.27664094
				1509439200|307.78499992|307.78052587|307.78499992|307.78052587|307.78442889|30636.95283931
				1509438900|308.47237183|307.79052587|307.79052587|308.47237183|307.82504890|660.77096112
				1509438600|307.91109060|307.80000001|307.80000001|307.87934965|307.84238841|29.10612841
				1509438300|308.47237652|306.85000115|307.80000001|307.30877888|307.61168920|26626.23692788
				1509438000|307.30877888|306.82000045|307.30877888|306.83000000|307.20344705|3976.80470206
				1509437700|307.30878038|306.79000006|306.81000747|306.99999999|307.13666255|3063.95011668
				1509437400|307.00000000|306.79000000|306.79000006|306.99999993|306.99912367|26740.93570669
				1509437100|307.00000000|306.50001071|307.00000000|306.63001928|306.66591506|5500.69274460
				1509436800|307.00000000|306.63001809|306.63001809|306.87935073|306.89043031|1523.27333315
				1509436500|307.00000000|306.87935073|306.87935073|306.97507299|306.93439879|1371.87056040
				1509436200|307.00000200|306.97507299|306.97507399|307.00000200|306.99833188|2458.71849200
				1509435900|307.70088040|307.00000104|307.00000104|307.70088040|307.62369488|2691.99720096
				1509435600|307.79999955|306.97507299|307.70088071|307.79999955|307.29473513|7899.73031011
				1509435300|307.97623629|307.00000000|307.87934994|307.87935073|307.46595874|16239.91638769
				1509435000|307.97623344|307.10000012|307.87935070|307.97623344|307.94135618|12758.57563771
				1509434700|307.49999992|307.00000103|307.48999988|307.49999992|307.19154306|1146.02528515
				1509434400|307.65860403|307.24650001|307.24650001|307.65860403|307.52147275|11988.45985795
				1509434100|307.65860403|307.65860403|307.65860403|307.65860403|307.65860403|297.49645574
				1509433800|307.97623629|307.52000000|307.54374255|307.90000000|307.61170307|2079.12152020
				1509433500|308.59999425|307.86873845|307.86873845|308.59999425|308.17966639|540.99002602
				1509433200|308.60000000|308.00000000|308.59999709|308.60000000|308.55203481|29219.82976609
				1509432900|308.79999993|308.60000000|308.60000000|308.60000000|308.60120515|87093.51174697
				1509432600|309.00000001|308.60000000|308.60000000|308.65000000|308.83822657|7447.91102244
				1509432300|309.00000001|308.60000000|308.60000003|309.00000001|308.94820021|370.97780959
				1509432000|309.50005540|308.60000000|309.48999997|308.60000805|308.64377817|21397.85738563
				1509431700|309.60000322|308.60000538|308.60000730|309.60000322|309.18827542|409.63177222
				1509431400|309.79999766|308.60000279|309.79999682|308.60000279|309.79897961|875.46346444
				1509431100|309.80000017|308.60000007|309.79999908|309.49999988|309.55320959|7675.34171556
				1509430800|309.55000011|308.60000000|309.50000000|309.49999995|308.95843259|31216.36279029
				1509430500|309.50000000|309.00000000|309.50000000|309.05000064|309.14423124|11334.09110273
				1509430200|309.99999775|309.00000531|309.05000006|309.99999775|309.32480976|11607.03560299
				1509429900|310.00000000|310.00000000|310.00000000|310.00000000|310.00000000|0.00003410
				1509429600|310.59999999|310.00000000|310.00000000|310.54259003|310.23933010|8353.12452528
				1509429300|310.59999999|310.54259003|310.54259003|310.54259004|310.56645209|2315.90538755
				1509429000|310.54259003|310.45000000|310.54259003|310.50000000|310.48365617|21671.98021849
				1509428700|310.50000000|310.40000000|310.45000000|310.46400000|310.49354364|17823.51649042
				1509428400|310.46400000|310.21000000|310.46400000|310.21000000|310.35215329|492.65452887
				1509428100|310.49999999|310.44999997|310.49999999|310.46400000|310.48999033|12095.97001893
				1509427800|310.46399984|310.00000000|310.46399984|310.00000000|310.21726416|21776.27980092
				1509427500|310.07000000|309.21833958|310.06999999|309.98999996|309.96945489|3101.87485243
				1509427200|310.46400000|309.98999995|310.35000000|309.98999995|310.19769608|43388.23760121
				1509426900|309.99999990|309.50000000|309.99999989|309.50000000|309.77391070|15491.26558384
				1509426600|309.57000000|309.11000370|309.11000382|309.57000000|309.53083826|2528.59408481
				1509426300|309.98999997|309.56999999|309.98999996|309.56999999|309.66923950|2038.39919040
				1509426000|309.56999999|309.56999999|309.56999999|309.56999999|309.56999999|921.72409785
				1509425700|309.56999999|309.10016558|309.56999999|309.25000000|309.51088981|1285.79676568
				1509425400|309.56999999|309.10016424|309.10016552|309.56999999|309.21925755|2477.93621377
				1509425100|309.56381211|309.10016181|309.56381211|309.10016181|309.19968004|2103.20203257
				1509424800|309.99999999|309.65919406|309.65919406|309.99999999|309.86536610|1858.16428336
				1509424500|310.00000000|309.70000000|309.70000003|309.99999997|309.99083073|10972.62100836
				1509424200|309.65919406|309.65919406|309.65919406|309.65919406|309.65919406|0.00000000
				1509423900|310.00000000|309.65919406|309.65919406|309.99999999|309.98853598|2669.26590417
				1509423600|310.00000000|308.97030019|309.54085204|309.99999999|309.39237853|781.38066811
				1509423300|310.00000000|309.42729100|309.72729100|309.72729100|309.89590973|6902.51691603
				1509423000|309.72729100|308.60000002|309.40000085|308.60000002|309.18184334|30423.12310294
				1509422700|308.99999989|308.50000000|308.60000000|308.50000000|308.60070909|89946.26228218
				1509422400|308.50000000|308.00000002|308.00000012|308.49999998|308.16145036|1640.69621125
				1509422100|308.49999999|308.00000000|308.20000000|308.00000187|308.00672912|1111.11144586
				1509421800|309.00000000|307.76400035|308.99999985|308.99999999|308.55902647|1872.87844663
				1509421500|309.00000000|308.99999988|308.99999988|308.99999988|308.99999988|1767.86277927
				1509421200|309.00000000|307.54374897|309.00000000|308.50000000|308.55318534|1134.70715003
				1509420900|308.50000000|308.46915000|308.46915000|308.50000000|308.49998640|2269.02602256
				1509420600|308.50000000|308.50000000|308.50000000|308.50000000|308.50000000|155.03230664
				1509420300|308.99999982|308.50000000|308.50000000|308.95924886|308.61129419|3056.59163308
				1509420000|308.95924888|308.60000000|308.95924887|308.80000000|308.68973793|3005.29762400
				1509419700|309.00000000|308.49999999|308.60000000|308.79999998|308.80198953|13428.50801961
				1509419400|308.80000000|308.50000000|308.50000000|308.80000000|308.58063954|754.55571028
				1509419100|308.99999970|308.50000000|308.50000000|308.60000000|308.91253984|5504.19744740
				1509418800|308.99999975|308.60000000|308.60000000|308.60000000|308.77717035|1259.88779922
				1509418500|308.99999981|308.50000000|308.50000000|308.50000000|308.90217373|157.89908691
				1509418200|309.00000000|308.50000000|308.99999986|308.50000000|308.59961575|12752.52075341
				1509417900|308.99999985|307.76399999|308.50000000|308.99999985|308.57677190|7548.18178843
				1509417600|309.00000000|308.93409975|308.99999987|308.93409975|308.95989654|1606.85832615
				1509417300|308.93409992|308.50000000|308.93409975|308.50000520|308.91835372|65564.93711496
				1509417000|308.50000520|307.62785745|308.50000000|308.35817030|308.47250931|8514.61908287
				1509416700|308.35000000|308.09000000|308.35000000|308.09000000|308.22788428|33386.35612491
				1509416400|308.10000000|307.50000000|308.10000000|307.60000000|307.65289104|11363.01766906
				1509416100|306.86760842|306.86760842|306.86760842|306.86760842|306.86760842|0.00000000
				1509415800|307.99999996|306.86760842|306.86760842|307.99999996|307.88743484|310.31847708
				1509415500|307.99999997|307.49999999|307.99999997|307.49999999|307.91779591|2766.14183971
				1509415200|307.99999997|307.31296988|307.31296988|307.99999997|307.33049528|2116.99305002
				1509414900|308.10000000|307.27075179|307.99999997|307.30729492|307.73649131|26755.15392817
				1509414600|308.08999997|307.30729359|308.08999987|308.00000000|307.98520426|1052.36432444
				1509414300|308.10000000|308.00000000|308.10000000|308.00000000|308.06977397|2450.34562995
				1509414000|308.00000000|307.30728407|307.30728689|307.30728407|307.59699045|8220.95820952
				1509413700|308.00000000|307.89800000|307.99999997|307.89800000|307.95017882|706.88190680
				1509413400|308.00000000|307.19999483|307.89800000|307.19999483|307.82068264|295.31171200
				1509413100|306.99999900|306.50000875|306.99999900|306.50000875|306.54385435|341.68090107
				1509412800|307.89184007|306.50000273|307.89184004|306.50000273|307.59399006|411.27290918
				1509412500|307.50000000|307.40000000|307.50000000|307.40000000|307.49324855|60.02821699
				1509412200|307.39999952|307.39999873|307.39999873|307.39999952|307.39999931|6791.39679198
				1509411900|307.00011101|306.75019033|306.75019033|306.90000000|306.89378825|207.70890144
				1509411600|307.99999997|306.50000000|307.98211881|307.99999997|306.68371178|47623.92325436
				1509411300|308.09999999|307.69230738|308.09999999|307.99999969|308.09709639|1206.27486442
				1509411000|308.10000000|306.90000175|308.10000000|306.90000176|307.32754011|15872.59317996
				1509410700|307.99999997|306.51000266|307.99999997|307.99999997|307.55973732|884.95451588
				1509410400|308.00000000|306.50000155|306.50000155|307.59999999|307.91551215|5832.17712823
				1509410100|306.70000000|306.12407225|306.12407425|306.70000000|306.28396860|977.51028741
				1509409800|306.70000000|306.50000000|306.50000000|306.70000000|306.66349878|588.95220202
				1509409500|306.70000000|306.70000000|306.70000000|306.70000000|306.70000000|903.69388398
				1509409200|306.70000000|306.70000000|306.70000000|306.70000000|306.70000000|0.00000000
				1509408900|307.59999993|306.70000000|306.70000000|306.95000000|306.90568334|483.75547057
				1509408600|306.80000000|306.70000000|306.70000000|306.80000000|306.79554001|4014.05747510
				1509408300|307.59999816|306.70000000|306.70000000|307.45624520|307.56610763|9593.39201086
				1509408000|307.45624520|306.80000000|307.45624520|306.80000000|307.29702282|1975.70118110
				1509407700|306.80000000|306.80000000|306.80000000|306.80000000|306.80000000|66.06495901
				1509407400|307.20000303|306.70000000|307.20000303|306.89999921|306.95559715|3885.42914431
				1509407100|306.89999928|306.20000000|306.70000000|306.40001000|306.52514006|51642.39458968
				1509406800|306.09999821|306.09999821|306.09999821|306.09999821|306.09999821|0.00000000
				1509406500|306.09999821|306.09999820|306.09999821|306.09999820|306.09999820|2693.29847957
				1509406200|306.09999967|305.00000006|306.09999853|306.09999967|305.27930037|508.72502148
				1509405900|306.05000003|306.05000003|306.05000003|306.05000003|306.05000003|50.50498616
				1509405600|306.05999958|306.05000038|306.05000038|306.05999958|306.05164734|516.68444939
				1509405300|306.09000083|305.00000276|305.00000276|306.09000083|305.96965668|392.81865724
				1509405000|306.10000000|305.00000039|305.69999992|305.00000039|305.39572722|10598.21472736
				1509404700|305.50000000|305.00000001|305.00000031|305.00000001|305.49857496|8773.64039720
				1509404400|305.00000000|304.76000109|305.00000000|304.84000025|304.84149566|10894.48773974
				1509404100|305.49999852|304.84000025|304.84000025|305.49999852|305.27729263|2303.75019658
				1509403800|304.84000025|304.84000025|304.84000025|304.84000025|304.84000025|0.00000000
				1509403500|305.50000000|304.84000025|304.84000025|305.50000000|305.00374490|445.97483488
				1509403200|305.49999999|305.49999999|305.49999999|305.49999999|305.49999999|0.00000000
				1509402900|305.89998996|304.84000299|305.49999999|305.89998996|305.05035613|2333.48507562
				1509402600|305.89999217|304.85246372|305.89999217|304.85246372|304.88147473|2744.45554068
				1509402300|305.89999551|305.89999353|305.89999353|305.89999551|305.89999395|351.49864924
				1509402000|305.89999830|304.85001418|304.85001418|305.89999830|305.35903967|157.02769515
				1509401700|305.98999990|304.84000311|305.89999975|304.84000311|304.94522848|1565.00064299
				1509401400|305.99999762|304.84000212|304.84000241|305.99999762|305.99484701|1536.79792014
				1509401100|305.99999906|304.84000040|305.99999906|304.99999980|304.94849093|1994.12430421
				1509400800|305.99999187|304.99999995|304.99999995|304.99999995|305.04535688|3.23659224
				1509400500|305.99999646|304.99999995|304.99999995|305.99999646|305.37429148|775.32721737
				1509400200|305.99999930|305.99999733|305.99999733|305.99999930|305.99999908|1146.85739657
				1509399900|306.02957384|304.84000320|304.84000320|306.02957384|305.55457365|765.21839542
				1509399600|306.05337836|305.88534119|306.02957642|305.88534119|306.03326291|1523.88906739
				1509399300|305.88534110|304.76000167|305.88534102|305.15000000|305.21410641|3492.93506127
				1509399000|305.50366740|304.76000118|304.76000132|305.00000003|305.12743134|14141.75612473
				1509398700|305.88533916|304.76000294|305.88533916|305.00020896|305.02001389|3155.67291498
				1509398400|305.88534119|305.00020895|305.00020895|305.88534119|305.88418955|8869.40753267
				1509398100|306.39999862|306.39999861|306.39999862|306.39999861|306.39999861|1210.99999775
				1509397800|305.88534163|305.00890223|305.00890263|305.88534163|305.42027354|3276.10016050
				1509397500|305.37770000|305.00020901|305.00020901|305.37770000|305.00736293|611.20099406
				1509397200|306.40000150|305.17440771|305.17440771|306.40000150|305.37074410|39.69716152
				1509396900|306.40000236|306.40000227|306.40000227|306.40000236|306.40000229|17.61044124
			xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			candle14400|288
				1509480000|307.00000000|305.00000000|305.20000003|306.00000051|306.02634208|68178.03058817
				1509465600|308.00000000|305.48570739|306.49998315|306.50100168|306.36136634|358386.33835261
				1509451200|309.20000000|304.80000000|306.50100175|308.42772671|306.69127449|1066254.46053660
				1509436800|308.59998934|306.50001071|308.56999994|306.87935073|307.60077708|417261.22835726
				1509422400|310.59999999|306.87935073|306.87935073|308.49999998|309.07667172|571181.40771662
				1509408000|309.00000000|306.12407225|308.20000000|306.80000000|308.00341020|318657.58858375
				1509393600|307.20000303|304.75682930|306.80000000|304.78546530|305.78051437|180924.09156861
				1509379200|307.35999976|304.00000000|304.78546530|306.99999910|305.33610885|306153.31144819
				1509364800|309.60999758|304.00000000|306.99999931|309.60999758|306.28101337|945138.95660599
				1509350400|311.64065525|307.55478601|308.32000003|310.09999946|310.01281273|810548.26643430
				1509336000|310.30000000|306.60258379|310.29999901|307.99869850|309.16696649|531429.76563827
				1509321600|309.69958092|303.10000057|307.32153034|304.52055313|305.91503621|652392.20493998
				1509307200|308.40746725|302.39051777|304.00000000|306.00000016|305.31999037|1026938.63386790
				1509292800|325.67890087|302.36026202|306.00000000|308.59999996|311.32405124|3332817.65695880
				1509278400|310.70000000|303.35000000|308.59999997|306.50137785|307.68282918|2517067.54922560
				1509264000|309.00000000|295.00000000|307.00000000|296.44549812|301.30225273|1930376.86522910
				1509249600|298.22634665|293.53042597|295.77480342|293.59879294|296.03532025|483189.59162825
				1509235200|294.45000000|292.09998166|294.44990000|293.00000002|293.24415422|380220.63462488
				1509220800|294.42843721|291.79789999|292.92000010|293.80000000|292.95829998|299805.02612321
				1509206400|295.49000000|292.00000000|293.80000019|293.32075181|293.80402837|292773.92838792
				1509192000|296.96682659|290.00000000|293.00000041|291.49985976|294.13986162|646858.05641604
				1509177600|293.75651190|291.03000000|291.49985974|293.60000001|292.59343821|481060.65576523
				1509163200|294.48913720|292.52795454|293.50000001|292.63000000|293.39650664|235331.68605158
				1509148800|296.79859999|292.59859716|292.63000000|295.99000000|295.07550609|239113.23899237
				1509134400|295.99000000|294.20000002|295.20000003|294.99951000|294.99461426|156491.53315356
				1509120000|296.80658186|293.50000004|295.40000000|293.51000140|295.07242560|284785.26256828
				1509105600|297.50000000|291.63100501|293.99999785|296.08535742|294.32082788|618393.42229343
				1509091200|297.50000000|295.16290001|295.80070000|296.99999946|296.23496023|407240.18298709
				1509076800|298.39992996|295.79347035|296.99999963|297.17087001|297.12933224|343501.87343182
				1509062400|299.03094226|294.50000000|297.17087001|295.00010000|297.04138508|370361.30215313
				1509048000|296.61724010|293.17974005|295.00010000|294.41811621|294.90181778|209947.91671950
				1509033600|296.99993000|293.10000000|294.41811623|296.41100013|294.95993635|678910.57482647
				1509019200|299.00000000|294.60000000|296.41100013|298.39999999|296.65220616|937491.42187949
				1509004800|299.76246996|295.00000000|298.39999999|295.76246997|297.10200440|356648.84338729
				1508990400|298.05300005|294.38923011|294.90000003|298.05300000|296.26294163|328863.90993531
